1	4
2	3
3	2
4	2
5	1
6	3
7	2
8	1
9	1
10	2
11	1
12	1
13	13
14	1
15	4
16	3
17	1
18	2
19	1
20	1
21	1
22	2
23	3
24	5
25	4
26	4
27	2
28	1
29	2
30	0
31	3
32	0
33	2
34	1
35	2
36	4
37	7
38	4
39	2
40	2
41	0
42	1
43	2
44	1
45	2
46	2
47	3
48	3
49	3
50	3
51	2
52	3
53	1
54	2
55	1
56	1
57	1
58	2
59	3
60	4
61	4
62	3
63	1
64	1
65	3
66	4
67	4
68	9
69	1
70	1
71	6
72	10
73	4
74	4
75	1
76	1
77	2
78	1
79	1
80	2
81	2
82	5
83	5
84	4
85	4
86	4
87	2
88	1
89	1
90	3
91	7
92	1
93	1
94	2
95	4
96	3
97	2
98	1
99	3
100	3
101	2
102	1
103	1
104	1
105	1
106	2
107	3
108	7
109	3
110	2
111	2
112	1
113	0
114	2
115	1
116	1
117	1
118	4
119	3
120	2
121	2
122	3
123	4
124	1
125	2
126	0
127	1
128	1
129	1
130	5
131	6
132	6
133	3
134	5
135	1
136	1
137	1
138	1
139	2
140	1
141	1
142	4
143	4
