1	12
2	40
3	52
4	8
5	15
6	26
7	17
8	32
9	16
10	24
11	13
12	11
13	22
14	12
15	29
16	7
17	11
18	73
19	21
20	45
21	22
22	53
23	54
24	20
25	29
26	69
27	16
28	53
29	20
30	22
31	16
32	60
33	6
34	384
35	63
36	45
37	75
38	53
39	19
40	66
41	16
42	114
43	22
44	10
45	50
46	14
47	60
48	10
49	25
50	11
51	32
52	28
53	7
54	35
55	16
56	9
57	35
58	9
59	12
60	60
61	13
62	20
63	10
64	92
65	22
66	17
67	56
68	28
69	45
70	7
71	25
72	28
73	10
74	45
75	13
76	12
77	48
78	13
79	15
80	37
81	35
82	20
83	38
84	15
85	16
86	9
87	59
88	85
89	37
90	37
91	108
92	77
93	17
94	10
95	73
96	10
97	45
98	36
99	91
100	23
