1	6
2	12
3	5
4	7
5	10
6	16
7	14
8	6
9	7
10	11
11	9
12	16
13	7
14	12
15	7
16	11
17	7
18	19
19	13
20	4
21	7
22	4
23	8
24	7
25	15
26	8
27	6
28	16
29	10
30	5
31	10
32	7
33	17
34	9
35	12
36	13
37	24
38	5
39	9
40	19
41	7
42	43
43	7
44	5
45	22
46	7
47	41
48	6
49	7
50	6
51	4
52	9
53	5
54	18
55	8
56	5
57	41
58	6
59	16
60	12
61	4
62	26
63	9
64	52
65	6
66	9
67	9
68	18
69	7
70	7
71	36
72	7
73	75
74	4
75	12
76	28
77	5
78	14
79	5
80	51
81	7
82	18
83	22
84	6
85	10
86	37
87	16
88	13
89	57
90	6
91	11
92	96
93	8
94	35
95	10
96	8
97	21
98	24
99	9
100	16
101	8
102	14
103	5
104	5
105	83
106	9
107	5
108	32
109	7
110	6
111	27
112	5
113	7
114	7
115	6
116	66
117	6
118	447
119	25
120	95
121	11
122	7
123	38
124	5
125	8
126	39
127	5
128	17
