1	10
2	17
3	9
4	8
5	21
6	18
7	22
8	10
9	17
10	18
11	15
12	14
13	14
14	13
15	13
16	19
17	10
18	34
19	6
20	5
21	11
22	7
23	5
24	11
25	11
26	34
27	25
28	8
29	18
30	15
31	14
32	20
33	10
34	32
35	18
36	9
37	72
38	7
39	18
40	22
41	13
42	9
43	22
44	18
45	50
46	5
47	18
48	25
49	11
50	14
51	47
52	8
53	10
54	7
55	20
56	40
57	6
58	19
59	11
60	13
61	30
62	33
63	19
64	22
65	7
66	43
67	21
68	50
69	23
70	13
71	38
72	4
73	8
74	50
75	11
76	67
77	11
78	87
79	4
80	7
81	50
82	4
83	5
84	52
85	14
86	20
87	59
88	14
89	47
90	25
91	11
92	19
93	42
94	15
95	60
96	10
97	12
98	127
99	8
100	38
101	36
102	11
103	35
104	27
105	12
106	43
107	25
108	53
109	10
110	94
111	9
112	6
113	29
114	28
115	13
116	47
117	7
118	11
119	10
120	8
121	16
122	69
123	58
124	401
125	181
126	18
127	6
128	45
129	13
130	10
131	16
132	34
133	18
