1,5
2,2
3,1
4,3
5,19
6,2
7,8
8,2
9,1
10,3
11,4
12,2
13,1
14,6
15,20
16,15
17,4
18,3
19,2
20,1
21,3
22,3
23,1
24,2
25,23
26,8
27,12
28,5
29,1
30,1
31,2
32,1
33,2
34,1
35,2
36,4
37,2
38,3
39,32
40,11
41,4
42,2
43,4
44,2
45,4
46,1
47,1
48,15
49,3
50,3
51,7
52,46
53,2
54,2
55,1
56,2
57,4
58,3
59,3
60,18
61,6
62,2
63,2
64,1
65,6
66,1
67,2
68,1
69,1
70,3
71,1
72,4
73,2
74,3
75,1
76,2
77,1
78,2
79,1
80,2
81,1
82,1
83,2
84,4
85,1
86,1
87,1
88,1
89,2
90,1
91,2
92,3
93,2
94,6
95,52
96,2
97,0
98,2
99,2
100,1
101,3
102,9
103,8
104,7
105,18
106,2
107,1
108,3
109,1
110,2
111,1
112,2
113,2
114,3
115,16
116,49
117,32
118,1
119,1
120,1
121,1
122,3
123,2
124,2
125,1
126,2
127,2
128,2
129,1
130,2
131,2
132,2
133,3
134,1
