1	7
2	17
3	11
4	12
5	26
6	12
7	9
8	19
9	17
10	9
11	23
12	15
13	12
14	9
15	5
16	27
17	4
18	17
19	9
20	7
21	17
22	10
23	6
24	11
25	6
26	11
27	6
28	25
29	7
30	8
31	22
32	6
33	7
34	10
35	10
36	31
37	10
38	17
39	5
40	18
41	11
42	12
43	6
44	4
45	17
46	9
47	7
48	19
49	8
50	18
51	6
52	10
53	14
54	6
55	22
56	30
57	8
58	22
59	7
60	11
61	6
62	83
63	19
64	6
65	10
66	9
67	27
68	59
69	25
70	17
71	6
72	9
73	56
74	8
75	7
76	17
77	56
78	41
79	11
80	8
81	40
82	3
83	7
84	81
85	8
86	32
87	6
88	73
89	8
90	55
91	20
92	12
93	53
94	5
95	20
96	66
97	12
98	7
99	16
100	15
101	17
102	70
103	25
104	4
105	7
106	91
107	7
108	49
109	16
110	6
111	49
112	4
113	49
114	25
115	6
116	58
117	4
118	9
119	5
120	7
121	8
122	6
123	456
124	6
125	61
126	4
127	78
128	22
129	49
130	6
131	18
132	13
133	29
